"Sample name","Compound_on_Chip_","ID","group","value"
"HSC-39","Pazopanib","EGFR_1190_1202","R",-0.421019316
"HSC-40A","Pazopanib","FGFR2_762_774","R",-0.461925745
"HSC-59","Pazopanib","EPHA7_607_619","NR",-0.328512907
"SNU-16","Pazopanib","EFS_246_258","R",-0.591262102
"MKN1","Pazopanib","VGFR1_1206_1218","NR",0.127636671
"HSC-44PE","Pazopanib","EFS_246_258","NR",-0.489025831
"JR-st","Pazopanib","VGFR3_1061_1073","NR",-0.059042275
"HSC-58","Pazopanib","DCX_109_121","NR",-0.067293644
"HSC-60","Pazopanib","RET_1022_1034","NR",-0.42918849
"HSC-39","Pazopanib","CTNB1_79_91","R",-0.128559709
"SNU-16","Pazopanib","NTRK2_696_708","R",-0.452428937
"HSC-58","Pazopanib","VGFR2_1052_1064","NR",0.015000343
"HSC-39","Pazopanib","JAK1_1015_1027","R",-0.385503292
"HSC-58","Pazopanib","TEC_512_524","NR",-0.193315744
"OCUM-1","Pazopanib","VGFR2_1046_1058","NR",-0.012352228
"NUGC-3","Pazopanib","ART_004_EAIYAAPFAKKKXC","NR",-0.551033735
"HSC-60","Pazopanib","PGFRB_768_780","NR",-0.134966612
"HSC-45","Pazopanib","TNNT1_2_14","NR",-0.183371067
"MKN1","Pazopanib","NPT2A_501_513","NR",0.228032276
"OKAJIMA","Pazopanib","NPT2A_501_513","NR",0.101178326
"NUGC-3","Pazopanib","VGFR1_1326_1338","NR",-0.384561658
"58As1","Pazopanib","EGFR_1103_1115","NR",-0.004446149
"MKN45","Pazopanib","FGFR3_753_765","NR",0.137772724
"KATO III","Pazopanib","MBP_263_275","R",-0.30597198
"IM95","Pazopanib","DCX_109_121","NR",-0.562641978
"SNU-16","Pazopanib","MBP_259_271","R",-0.174872994
"MKN28","Pazopanib","FAK1_569_581","NR",-0.002364794
"OKAJIMA","Pazopanib","PLCG1_764_776","NR",-0.12840493
"HSC-39","Pazopanib","VGFR1_1162_1174","R",-0.080447853
"OKAJIMA","Pazopanib","ERBB2_870_882","NR",0.088051952
"SNU-16","Pazopanib","VGFR2_944_956","R",-0.533827662
"HSC-60","Pazopanib","EPHA2_765_777","NR",-0.522015572
"KATO III","Pazopanib","ERBB2_870_882","R",-0.965871811
"SNU-16","Pazopanib","EPOR_419_431","R",-0.536202073
"MKN7","Pazopanib","CRK_214_226","NR",-0.446753561
"NUGC-4","Pazopanib","EPOR_361_373","NR",-0.45701158
"KATO III","Pazopanib","EPHB1_771_783","R",-0.542464852
"44As3","Pazopanib","VGFR2_1052_1064","NR",-0.51891458
"NUGC-3","Pazopanib","FGFR1_761_773","NR",0.237542391
"MKN28","Pazopanib","EPOR_361_373","NR",-0.2538279
"MKN74","Pazopanib","VGFR2_989_1001","NR",-0.437813163
"HSC-39","Pazopanib","VGFR1_1326_1338","R",-0.221531749
"HSC-39","Pazopanib","MK14_173_185","R",-0.295240939
"MKN28","Pazopanib","ENOG_37_49","NR",-0.594105244
"HSC-60","Pazopanib","MBP_259_271","NR",-0.104240596
"HSC-59","Pazopanib","RAF1_332_344","NR",0.073235273
"OCUM-1","Pazopanib","EFS_246_258","NR",-0.622256279
"HSC-43","Pazopanib","FGFR2_762_774","R",-0.655705214
"OCUM-1","Pazopanib","MK07_211_223","NR",-0.331165791
"HSC-60","Pazopanib","CALM_95_107","NR",-0.324844003
"HSC-40A","Pazopanib","LAT_249_261","R",-0.668609619
"JR-st","Pazopanib","VGFR1_1162_1174","NR",0.027490914
"HSC-60","Pazopanib","CDK2_8_20","NR",-0.545463085
"MKN45","Pazopanib","PTN11_539_551","NR",0.01165247
"HSC-40A","Pazopanib","41_654_666","R",-0.41682601
"HSC-60","Pazopanib","TNNT1_2_14","NR",-0.314601541
"MKN1","Pazopanib","TNNT1_2_14","NR",0.094388448
"44As3","Pazopanib","DCX_109_121","NR",-0.200647235
"OKAJIMA","Pazopanib","LAT_194_206","NR",0.042430717
"SNU-16","Pazopanib","ERBB2_1241_1253","R",-0.23191905
"MKN1","Pazopanib","EPHA1_774_786","NR",0.070812859
"JR-st","Pazopanib","TYRO3_679_691","NR",-0.034245014
"HSC-59","Pazopanib","VGFR3_1061_1073","NR",-0.198006988
"MKN45","Pazopanib","ZAP70_485_497","NR",-0.009329955
"HSC-59","Pazopanib","CD3Z_146_158","NR",-0.10254997
"SNU-16","Pazopanib","TNNT1_2_14","R",-0.115555406
"IM95","Pazopanib","ERBB2_1241_1253","NR",-0.232953668
"NUGC-4","Pazopanib","VINC_815_827","NR",-0.087421298
"NCI-N87","Pazopanib","JAK1_1015_1027","NR",-0.280702442
"MKN45","Pazopanib","MBP_198_210","NR",-0.109117351
"HSC-39","Pazopanib","FRK_380_392","R",-0.588855743
"HSC-60","Pazopanib","PLCG1_764_776","NR",-0.659995794
"MKN7","Pazopanib","DYR1A_312_324","NR",-0.189625502
"MKN28","Pazopanib","MBP_198_210","NR",0.159371689
"HSC-60","Pazopanib","TYRO3_679_691","NR",-0.277560592
"HSC-39","Pazopanib","C1R_199_211","R",-0.422154725
"KATO III","Pazopanib","ANXA2_17_29","R",-0.379348099
"HSC-45","Pazopanib","VGFR1_1040_1052","NR",-0.234113455
"SNU-16","Pazopanib","VGFR1_1040_1052","R",-0.254948497
"MKN45","Pazopanib","EFS_246_258","NR",-0.476263046
"MKN1","Pazopanib","ODBA_340_352","NR",-0.222530246
"NUGC-3","Pazopanib","VGFR1_1162_1174","NR",0.12359482
"HSC-45","Pazopanib","SRC8_CHICK_470_482","NR",0.017033815
"KATO III","Pazopanib","FGFR2_762_774","R",-1.165382147
"HSC-40A","Pazopanib","AMPE_5_17","R",-0.492866635
"HSC-43","Pazopanib","B3AT_39_51","R",-0.359785557
"MKN28","Pazopanib","PGFRB_771_783","NR",-0.46420002
"MKN7","Pazopanib","SRC8_CHICK_470_482","NR",0.072436213
"MKN45","Pazopanib","EPHA1_774_786","NR",-0.257591099
"HSC-59","Pazopanib","DDR1_506_518","NR",-0.136456728
"HSC-58","Pazopanib","CD3Z_146_158","NR",-0.245213866
"HSC-44PE","Pazopanib","EPHB4_583_595","NR",0.248970985
"NUGC-3","Pazopanib","EGFR_1190_1202","NR",-0.177846253
"NUGC-4","Pazopanib","CD79A_181_193","NR",-0.556852579
"58As1","Pazopanib","PAXI_24_36","NR",-0.403834581
"MKN45","Pazopanib","FAK2_572_584","NR",0.00909106
"SNU-16","Pazopanib","EGFR_1190_1202","R",-0.717440009
"NUGC-3","Pazopanib","P85A_600_612","NR",-0.696807027
"HSC-39","Pazopanib","CD79A_181_193","R",-0.494250298
"HSC-40A","Pazopanib","PGFRB_1002_1014","R",-0.470388532
"HSC-45","Pazopanib","AMPE_5_17","NR",0.11062789
"IM95","Pazopanib","PECA1_706_718","NR",-0.881906986
"OCUM-1","Pazopanib","VGFR2_989_1001","NR",-0.631147623
"KATO III","Pazopanib","CTNB1_79_91","R",-0.212634563
"OKAJIMA","Pazopanib","MBP_198_210","NR",-0.000213703
"HSC-39","Pazopanib","PDPK1_2_14","R",-0.414909244
"HSC-39","Pazopanib","FES_706_718","R",-0.45254302
"SNU-16","Pazopanib","FGFR2_762_774","R",-0.364808559
"HSC-40A","Pazopanib","VGFR2_989_1001","R",-0.546081305
"44As3","Pazopanib","TEC_512_524","NR",-0.378183961
"MKN45","Pazopanib","PDPK1_2_14","NR",-0.119115196
"44As3","Pazopanib","PP2AB_297_309","NR",-0.139136672
"KATO III","Pazopanib","MET_1227_1239","R",-1.015690565
"OKAJIMA","Pazopanib","INSR_992_1004","NR",0.067121901
"HSC-58","Pazopanib","FRK_380_392","NR",-0.366536617
"44As3","Pazopanib","PRGR_786_798","NR",-0.314694285
"HSC-44PE","Pazopanib","ERBB2_870_882","NR",-0.083829045
"HSC-40A","Pazopanib","EPOR_419_431","R",-0.484781265
"OCUM-1","Pazopanib","PAXI_24_36","NR",-0.519537807
"MKN74","Pazopanib","RET_1022_1034","NR",-0.421797276
"MKN74","Pazopanib","PP2AB_297_309","NR",-0.304735899
"HSC-59","Pazopanib","CRK_214_226","NR",-0.134623468
"IM95","Pazopanib","ERBB4_1277_1289","NR",-0.330644846
"HSC-44PE","Pazopanib","FAK2_572_584","NR",-0.153763413
"MKN28","Pazopanib","41_654_666","NR",-0.084311567
"MKN7","Pazopanib","PP2AB_297_309","NR",-0.107839942
"HSC-43","Pazopanib","FAK2_572_584","R",-0.510388851
"MKN1","Pazopanib","FGFR3_753_765","NR",-0.107126079
"58As1","Pazopanib","EPHA7_607_619","NR",-0.216008186
"MKN1","Pazopanib","CD3Z_116_128","NR",-0.330719382
"44As3","Pazopanib","MBP_259_271","NR",-0.171859384
"44As3","Pazopanib","ERBB4_1277_1289","NR",-0.441221476
"HSC-40A","Pazopanib","PAXI_24_36","R",-0.558170319
"HSC-43","Pazopanib","PLCG1_764_776","R",-0.532053947
"HSC-43","Pazopanib","VGFR1_1326_1338","R",-0.523294687
"KATO III","Pazopanib","EPHA7_607_619","R",-0.611465931
"HSC-44PE","Pazopanib","MK01_180_192","NR",-0.106936693
"NUGC-3","Pazopanib","VGFR2_989_1001","NR",-0.638512492
"MKN1","Pazopanib","MK07_211_223","NR",-0.157250881
"KATO III","Pazopanib","C1R_199_211","R",-0.133945823
"MKN74","Pazopanib","AMPE_5_17","NR",0.281372666
"44As3","Pazopanib","K2C6B_53_65","NR",-0.21029222
"IM95","Pazopanib","MBP_259_271","NR",0.074819446
"HSC-44PE","Pazopanib","PAXI_24_36","NR",-0.537373543
"58As1","Pazopanib","FGFR3_753_765","NR",-0.186181307
"HSC-60","Pazopanib","VGFR3_1061_1073","NR",-0.236071944
"JR-st","Pazopanib","ERBB4_1277_1289","NR",-0.270117879
"MKN28","Pazopanib","ACHD_383_395","NR",-0.009400845
"SNU-16","Pazopanib","FGFR3_753_765","R",-0.375225663
"MKN45","Pazopanib","ENOG_37_49","NR",-0.455219597
"44As3","Pazopanib","RET_1022_1034","NR",-0.555716991
"HSC-39","Pazopanib","PGFRB_1002_1014","R",-0.516058445
"HSC-40A","Pazopanib","ART_004_EAIYAAPFAKKKXC","R",-0.640993595
"NUGC-4","Pazopanib","FGFR1_761_773","NR",-0.141534328
"58As1","Pazopanib","EPHA2_765_777","NR",-0.383823395
"KATO III","Pazopanib","RASA1_453_465","R",-0.491649151
"MKN45","Pazopanib","TNNT1_2_14","NR",-0.046987057
"MKN45","Pazopanib","MK14_173_185","NR",-0.221064806
"MKN45","Pazopanib","RON_1346_1358","NR",0.02315855
"HSC-58","Pazopanib","VGFR1_1206_1218","NR",-0.439805031
"MKN74","Pazopanib","VGFR1_1206_1218","NR",-0.09179467
"HSC-43","Pazopanib","JAK2_563_577","R",-0.27562964
"MKN45","Pazopanib","EPOR_419_431","NR",-0.193163082
"HSC-58","Pazopanib","AMPE_5_17","NR",0.158854246
"SNU-16","Pazopanib","KSYK_518_530","R",-0.42665112
"MKN45","Pazopanib","VGFR2_944_956","NR",-0.055499714
"NCI-N87","Pazopanib","TNNT1_2_14","NR",-0.082944714
"IM95","Pazopanib","EPHB1_771_783","NR",-0.500479937
"NCI-N87","Pazopanib","NCF1_313_325","NR",-0.010035276
"JR-st","Pazopanib","PGFRB_1014_1028","NR",-0.479111075
"HSC-59","Pazopanib","P85A_600_612","NR",-0.318700671
"HSC-43","Pazopanib","MK01_180_192","R",-0.125821829
"HSC-43","Pazopanib","EPOR_361_373","R",-0.633150101
"44As3","Pazopanib","TYRO3_679_691","NR",-0.275202274
"MKN7","Pazopanib","PDPK1_2_14","NR",-0.537001848
"HSC-40A","Pazopanib","KSYK_518_530","R",-0.392146349
"IM95","Pazopanib","PGFRB_768_780","NR",-0.178350091
"HSC-59","Pazopanib","VGFR1_1040_1052","NR",0.040575027
"MKN1","Pazopanib","RASA1_453_465","NR",0.1051929
"MKN1","Pazopanib","FGFR2_762_774","NR",-0.203552485
"NUGC-4","Pazopanib","VGFR1_1040_1052","NR",-0.08820188
"HSC-40A","Pazopanib","MET_1227_1239","R",-0.616949797
"NCI-N87","Pazopanib","LAT_249_261","NR",-0.338571221
"HSC-45","Pazopanib","CD3Z_146_158","NR",-0.329108715
"MKN74","Pazopanib","JAK2_563_577","NR",-0.33960712
"HSC-59","Pazopanib","VGFR2_989_1001","NR",-0.398570895
"HSC-58","Pazopanib","EPHA2_765_777","NR",-0.39215517
"MKN7","Pazopanib","DDR1_506_518","NR",-0.261059761
"HSC-39","Pazopanib","MK12_178_190","R",0.055509329
"HSC-60","Pazopanib","CRK_214_226","NR",0.110420525
"HSC-58","Pazopanib","CDK2_8_20","NR",-0.369826317
"OCUM-1","Pazopanib","CD3Z_146_158","NR",-0.10193491
"MKN74","Pazopanib","SRC8_CHICK_476_488","NR",-0.715395927
"JR-st","Pazopanib","MK07_211_223","NR",-0.200440586
"HSC-39","Pazopanib","ERBB4_1277_1289","R",-0.394592047
"MKN1","Pazopanib","AMPE_5_17","NR",0.095540203
"HSC-43","Pazopanib","MK12_178_190","R",-0.226030111
"MKN28","Pazopanib","MK10_216_228","NR",-0.08679048
"MKN28","Pazopanib","VGFR2_1046_1058","NR",-0.110231996
"MKN1","Pazopanib","VGFR3_1061_1073","NR",0.078306794
"SNU-16","Pazopanib","SRC8_CHICK_470_482","R",0.014480889
"MKN1","Pazopanib","FGFR1_761_773","NR",-0.132046938
"MKN28","Pazopanib","MET_1227_1239","NR",-0.361242294
"HSC-44PE","Pazopanib","MBP_263_275","NR",0.31278497
"IM95","Pazopanib","EPHA4_589_601","NR",0.212032199
"44As3","Pazopanib","NTRK1_489_501","NR",-0.041040421
"HSC-58","Pazopanib","VGFR1_1326_1338","NR",-0.184583664
"MKN74","Pazopanib","VGFR2_1046_1058","NR",-0.066576719
"MKN45","Pazopanib","CALM_95_107","NR",-0.05447356
"KATO III","Pazopanib","FRK_380_392","R",-0.532773137
"44As3","Pazopanib","MK12_178_190","NR",-0.08934319
"HSC-60","Pazopanib","ZAP70_485_497","NR",-0.556315422
"HSC-44PE","Pazopanib","TEC_512_524","NR",0.092602849
"44As3","Pazopanib","CD3Z_146_158","NR",-0.53030169
"MKN28","Pazopanib","MK12_178_190","NR",-0.069934286
"SNU-16","Pazopanib","CRK_214_226","R",-0.225027144
"NCI-N87","Pazopanib","EPHB1_921_933","NR",0.129335448
"HSC-45","Pazopanib","FGFR1_761_773","NR",-0.242407799
"HSC-39","Pazopanib","VGFR2_1052_1064","R",-0.494701684
"NUGC-3","Pazopanib","PDPK1_369_381","NR",-0.330681324
"NUGC-4","Pazopanib","K2C6B_53_65","NR",-0.426680923
"HSC-40A","Pazopanib","VGFR1_1206_1218","R",-0.282876134
"58As1","Pazopanib","SRC8_CHICK_476_488","NR",-0.545643568
"NUGC-4","Pazopanib","RON_1346_1358","NR",-0.140882611
"NUGC-3","Pazopanib","DCX_109_121","NR",-0.137580872
"MKN7","Pazopanib","C1R_199_211","NR",-0.269016266
"44As3","Pazopanib","PECA1_706_718","NR",-0.71519804
"NCI-N87","Pazopanib","VGFR1_1049_1061","NR",0.418459564
"MKN74","Pazopanib","K2C6B_53_65","NR",-0.198082209
"MKN45","Pazopanib","ERBB2_1241_1253","NR",0.01339833
"HSC-40A","Pazopanib","ERBB4_1181_1193","R",-0.181219101
"MKN1","Pazopanib","EPHA7_607_619","NR",-0.236832932
"SNU-16","Pazopanib","RAF1_332_344","R",-0.24960947
"44As3","Pazopanib","ACHD_383_395","NR",-0.301798224
"HSC-58","Pazopanib","RB_804_816","NR",-0.026486397
"58As1","Pazopanib","DYR1A_212_224","NR",0.159020185
"JR-st","Pazopanib","EPHA2_765_777","NR",-0.617853165
"HSC-58","Pazopanib","SRC8_CHICK_476_488","NR",-0.450785637
"58As1","Pazopanib","LCK_387_399","NR",-0.075852394
"MKN45","Pazopanib","41_654_666","NR",0.039754707
"HSC-40A","Pazopanib","FAK1_569_581","R",-0.397335529
"NCI-N87","Pazopanib","ERBB2_870_882","NR",-0.080540977
"MKN7","Pazopanib","NTRK2_696_708","NR",-0.154917955
"HSC-44PE","Pazopanib","EPHB1_771_783","NR",-0.394335032
"KATO III","Pazopanib","ERBB4_1181_1193","R",-0.266987324
"HSC-39","Pazopanib","MBP_198_210","R",-0.188147664
"MKN1","Pazopanib","MK01_180_192","NR",-0.059642632
"OKAJIMA","Pazopanib","EPHB1_921_933","NR",0.182790205
"MKN7","Pazopanib","ERBB2_1241_1253","NR",-0.380767345
"MKN74","Pazopanib","EPHA4_589_601","NR",-0.073826015
"HSC-60","Pazopanib","VGFR1_1326_1338","NR",-0.436058044
"HSC-45","Pazopanib","FRK_380_392","NR",-0.752977371
"HSC-44PE","Pazopanib","VGFR3_1061_1073","NR",-0.037773013
"NCI-N87","Pazopanib","EPHA1_774_786","NR",-0.348308414
"SNU-16","Pazopanib","EGFR_1165_1177","R",-0.351983905
"JR-st","Pazopanib","41_654_666","NR",-0.497852206
"KATO III","Pazopanib","CALM_95_107","R",-0.334412873
"JR-st","Pazopanib","VGFR2_1168_1180","NR",0.12163645
"HSC-44PE","Pazopanib","VGFR2_1052_1064","NR",-0.172139108
"KATO III","Pazopanib","LAT_249_261","R",-0.607341528
"NUGC-3","Pazopanib","VGFR1_1206_1218","NR",0.070513129
"NUGC-4","Pazopanib","DYR1A_312_324","NR",-0.581337929
"OKAJIMA","Pazopanib","MK01_180_192","NR",0.289463133
"NUGC-4","Pazopanib","INSR_992_1004","NR",-0.334272981
"HSC-40A","Pazopanib","DCX_109_121","R",-0.224074244
"HSC-59","Pazopanib","EPHB1_771_783","NR",-0.360927105
"MKN7","Pazopanib","VGFR2_1052_1064","NR",-0.415178299
"IM95","Pazopanib","EPHB4_583_595","NR",-0.146201551
"MKN74","Pazopanib","EGFR_1190_1202","NR",-0.133753061
"MKN28","Pazopanib","CD3Z_146_158","NR",-0.202934936
"HSC-39","Pazopanib","DYR1A_212_224","R",-0.5852198
"NCI-N87","Pazopanib","EPOR_361_373","NR",-0.481589884
"SNU-16","Pazopanib","VGFR1_1162_1174","R",0.065173328
"MKN28","Pazopanib","EPHB4_583_595","NR",0.130249336
"NCI-N87","Pazopanib","CD3Z_146_158","NR",-0.245966092
"HSC-40A","Pazopanib","FGFR1_761_773","R",-0.416160345
"HSC-60","Pazopanib","C1R_199_211","NR",-0.402620554
"IM95","Pazopanib","VGFR2_1168_1180","NR",-0.22656548
"HSC-60","Pazopanib","K2C8_425_437","NR",-0.418830633
"HSC-58","Pazopanib","ANXA1_14_26","NR",-0.381291628
"MKN7","Pazopanib","CDK7_157_169","NR",-0.031110764
"58As1","Pazopanib","NCF1_313_325","NR",-0.006933212
"MKN74","Pazopanib","ART_004_EAIYAAPFAKKKXC","NR",-0.590751648
"SNU-16","Pazopanib","FAK2_572_584","R",-0.443907261
"MKN74","Pazopanib","ERBB4_1277_1289","NR",-0.354853272
"NCI-N87","Pazopanib","AMPE_5_17","NR",0.0958426
"HSC-43","Pazopanib","PAXI_111_123","R",-0.593698502
"HSC-39","Pazopanib","PRRX2_202_214","R",-0.541574717
"HSC-45","Pazopanib","PGFRB_768_780","NR",-0.522885084
"HSC-60","Pazopanib","PGFRB_771_783","NR",-0.510242522
"NUGC-4","Pazopanib","DCX_109_121","NR",-0.055805206
"JR-st","Pazopanib","KSYK_518_530","NR",0.037239313
"44As3","Pazopanib","VINC_815_827","NR",-0.235167265
"OKAJIMA","Pazopanib","PGFRB_771_783","NR",-0.211779878
"58As1","Pazopanib","K2C6B_53_65","NR",-0.163779259
"HSC-43","Pazopanib","RB_804_816","R",-0.490671158
"MKN74","Pazopanib","PGFRB_771_783","NR",-0.324520826
"MKN28","Pazopanib","EPOR_419_431","NR",-0.394852549
"HSC-39","Pazopanib","NTRK2_696_708","R",-0.348254919
"OKAJIMA","Pazopanib","PGFRB_1014_1028","NR",-0.025944233
"SNU-16","Pazopanib","LAT_194_206","R",-0.24433589
"HSC-43","Pazopanib","SRC8_CHICK_476_488","R",-0.575035572
"OKAJIMA","Pazopanib","VGFR2_1052_1064","NR",0.066188492
"HSC-60","Pazopanib","ERBB4_1181_1193","NR",-0.32099086
"MKN7","Pazopanib","PGFRB_572_584","NR",-0.343969822
"OCUM-1","Pazopanib","PLCG1_764_776","NR",-0.498881102
"58As1","Pazopanib","EPHB1_921_933","NR",-0.001925468
"HSC-39","Pazopanib","MET_1227_1239","R",-0.557115436
"MKN1","Pazopanib","P85A_600_612","NR",-0.124615274
"HSC-44PE","Pazopanib","RON_1346_1358","NR",-0.16917932
"KATO III","Pazopanib","SRC8_CHICK_470_482","R",-0.132178962
"OKAJIMA","Pazopanib","PDPK1_369_381","NR",0.133034781
"MKN74","Pazopanib","PAXI_111_123","NR",-0.551095724
"58As1","Pazopanib","FGFR1_761_773","NR",0.070656776
"HSC-45","Pazopanib","ERBB4_1181_1193","NR",-0.379077554
"OCUM-1","Pazopanib","TNNT1_2_14","NR",-0.353146911
"44As3","Pazopanib","PGFRB_1014_1028","NR",-0.367133141
"HSC-60","Pazopanib","RB_804_816","NR",-0.326736093
"HSC-45","Pazopanib","MK01_180_192","NR",-0.112444401
